Scheduling Policy,n,rho,Num Customers,Avg Waiting Time,Confidence Interval
FIFO,1,0.95,0,0.0,"(0.0, 0.0)"
FIFO,1,0.95,250,10.31064625725459,"(-9.432466519701602, 30.05375903421078)"
FIFO,1,0.95,500,19.579352690217434,"(-49.67395683603124, 88.8326622164661)"
FIFO,1,0.95,750,27.614246683166463,"(-128.45771807042365, 183.6862114367566)"
FIFO,1,0.95,1000,25.019443063419594,"(-105.4322485128499, 155.4711346396891)"
FIFO,1,0.95,1250,21.45473844675242,"(-72.34832997754307, 115.2578068710479)"
FIFO,1,0.95,1500,22.05817792325334,"(-71.80198224244705, 115.91833808895373)"
FIFO,1,0.95,1750,26.32965469173216,"(-50.151953724927694, 102.81126310839201)"
FIFO,1,0.95,2000,30.281574454121014,"(-70.79292604818309, 131.35607495642512)"
FIFO,1,0.95,2250,30.91349658419947,"(-88.29689602845858, 150.12388919685753)"
FIFO,1,0.95,2500,29.523057139618658,"(-85.22952689637853, 144.27564117561585)"
FIFO,1,0.95,2750,28.62120000575819,"(-85.82652016393013, 143.0689201754465)"
FIFO,1,0.95,3000,27.009088771514968,"(-76.8021851340341, 130.82036267706405)"
FIFO,1,0.95,3250,25.90180775258834,"(-64.03826516213233, 115.84188066730901)"
FIFO,1,0.95,3500,25.457351612283258,"(-54.94462512519807, 105.8593283497646)"
FIFO,1,0.95,3750,26.81419058531539,"(-15.774243483038088, 69.40262465366887)"
FIFO,1,0.95,4000,26.81329325720978,"(-2.918513720984919, 56.545100235404476)"
FIFO,1,0.95,4250,26.027288925682747,"(0.5868485624042492, 51.467729288961245)"
FIFO,1,0.95,4500,25.441089478347486,"(-1.9829528939866528, 52.86513185068162)"
FIFO,1,0.95,4750,25.563458298489167,"(-3.117062295841226, 54.243978892819555)"
FIFO,1,0.95,5000,25.855460079843397,"(-12.585034313148185, 64.29595447283498)"
FIFO,1,0.95,5250,25.719576145617786,"(-16.179519620292417, 67.618671911528)"
FIFO,1,0.95,5500,25.282772893068667,"(-16.948479463332518, 67.51402524946985)"
FIFO,1,0.95,5750,26.205180218508055,"(-18.97184701362891, 71.38220745064501)"
FIFO,1,0.95,6000,25.794563882380977,"(-16.413038345527546, 68.0021661102895)"
FIFO,1,0.95,6250,25.14378467515549,"(-16.373123641938104, 66.66069299224908)"
FIFO,1,0.95,6500,24.62489894717688,"(-17.628009429054586, 66.87780732340835)"
FIFO,1,0.95,6750,24.27494596078661,"(-14.029161379997909, 62.57905330157113)"
FIFO,1,0.95,7000,24.26265735412143,"(-4.897646938529338, 53.422961646772194)"
FIFO,1,0.95,7250,23.921840000967492,"(-4.730005597812994, 52.573685599747975)"
FIFO,1,0.95,7500,24.87716900058968,"(-3.172249515078768, 52.92658751625813)"
FIFO,1,0.95,7750,24.897001329865503,"(-8.841509592812429, 58.635512252543435)"
FIFO,1,0.95,8000,24.868008716023297,"(-4.936550650316917, 54.67256808236351)"
FIFO,1,0.95,8250,25.990241957523374,"(11.503094943477977, 40.47738897156877)"
FIFO,1,0.95,8500,26.945537737751003,"(23.454699585544148, 30.43637588995786)"
FIFO,1,0.95,8750,27.324687847532118,"(14.093780047504692, 40.55559564755954)"
FIFO,1,0.95,9000,26.91506203826583,"(12.643968249317341, 41.18615582721432)"
FIFO,1,0.95,9250,26.486922116710183,"(11.291318333311594, 41.68252590010877)"
FIFO,1,0.95,9500,26.43432474416949,"(7.960993199146483, 44.9076562891925)"
FIFO,1,0.95,9750,26.300202037262114,"(6.082346116971781, 46.51805795755244)"
FIFO,1,0.99,0,0.0,"(0.0, 0.0)"
FIFO,1,0.99,250,15.898315126320412,"(-11.302621560524255, 43.09925181316508)"
FIFO,1,0.99,500,16.40751757937817,"(-28.967521095393668, 61.78255625415001)"
FIFO,1,0.99,750,18.58242434390424,"(-19.409355687482265, 56.57420437529075)"
FIFO,1,0.99,1000,16.590727003816617,"(2.5617596286259925, 30.619694379007242)"
FIFO,1,0.99,1250,18.048728494052522,"(-11.136046824764549, 47.23350381286959)"
FIFO,1,0.99,1500,19.59137836588078,"(-33.60779775427279, 72.79055448603435)"
FIFO,1,0.99,1750,23.864678517512168,"(-67.42740547978212, 115.15676251480647)"
FIFO,1,0.99,2000,26.454685546205685,"(-103.75880075792013, 156.6681718503315)"
FIFO,1,0.99,2250,30.97686843013581,"(-136.40536389295494, 198.35910075322653)"
FIFO,1,0.99,2500,34.333173493975316,"(-177.658108747483, 246.32445573543365)"
FIFO,1,0.99,2750,38.296394738663516,"(-215.7739412212408, 292.36673069856784)"
