Scheduling Policy,n,rho,Num Customers,Avg Waiting Time,Confidence Interval,Std,Mean
FIFO,1,0.8,0,0.0,"(0.0, 0.0)",0.0,0.0
FIFO,1,0.8,2500,7.37643,"(6.98473, 7.76813)",1.36443,7.37643
FIFO,1,0.8,5000,7.81299,"(7.40934, 8.21664)",1.40604,7.81299
FIFO,1,0.8,7500,7.85065,"(7.54869, 8.15261)",1.05182,7.85065
FIFO,1,0.8,10000,7.97104,"(7.70872, 8.23337)",0.91375,7.97104
FIFO,1,0.8,12500,8.04614,"(7.7966, 8.29569)",0.86923,8.04614
FIFO,1,0.8,15000,8.0125,"(7.77986, 8.24514)",0.81036,8.0125
FIFO,1,0.8,17500,7.99331,"(7.77442, 8.21219)",0.76244,7.99331
FIFO,1,0.8,20000,7.97865,"(7.78111, 8.17619)",0.68809,7.97865
FIFO,1,0.8,22500,8.02817,"(7.85056, 8.20577)",0.61865,8.02817
FIFO,1,0.8,25000,8.01943,"(7.85554, 8.18331)",0.57087,8.01943
FIFO,1,0.8,27500,8.03243,"(7.86911, 8.19576)",0.56892,8.03243
FIFO,1,0.8,30000,8.00802,"(7.85976, 8.15629)",0.51645,8.00802
FIFO,1,0.8,32500,8.002,"(7.8596, 8.14441)",0.49606,8.002
FIFO,1,0.8,35000,7.99317,"(7.86095, 8.1254)",0.46058,7.99317
FIFO,1,0.8,37500,8.00184,"(7.87261, 8.13106)",0.45013,8.00184
FIFO,1,0.8,40000,7.99353,"(7.85922, 8.12784)",0.46785,7.99353
FIFO,1,0.8,42500,7.99037,"(7.85956, 8.12118)",0.45565,7.99037
FIFO,1,0.8,45000,7.97932,"(7.85697, 8.10166)",0.42616,7.97932
FIFO,1,0.8,47500,7.96917,"(7.84956, 8.08878)",0.41666,7.96917
FIFO,1,0.8,50000,7.96439,"(7.84277, 8.08601)",0.42363,7.96439
FIFO,1,0.95,0,0.0,"(0.0, 0.0)",0.0,0.0
FIFO,1,0.95,2500,31.44235,"(27.54042, 35.34428)",13.59168,31.44235
FIFO,1,0.95,5000,33.21069,"(29.98198, 36.4394)",11.24665,33.21069
FIFO,1,0.95,7500,33.55031,"(30.51412, 36.58649)",10.57601,33.55031
