Service Distribution,n,Num Customers,Avg Waiting Time,Confidence Interval
M,1,0,0.0,"(0.0, 0.0)"
M,1,1250,30.22849584135537,"(26.844224397279913, 33.61276728543083)"
M,1,2500,32.881526240882195,"(29.56963344561535, 36.193419036149045)"
M,1,3750,34.42750163484975,"(31.343222208213895, 37.5117810614856)"
M,1,5000,34.53701168095138,"(31.688988092564824, 37.38503526933794)"
M,1,6250,34.17070147591663,"(31.736094916961974, 36.605308034871285)"
M,1,7500,35.08846677908249,"(32.77903168033973, 37.39790187782525)"
M,1,8750,35.38217793217319,"(33.2587466011058, 37.505609263240586)"
M,1,10000,35.581750524762306,"(33.562677543679285, 37.60082350584533)"
M,1,11250,35.03309469386619,"(33.15273234691319, 36.91345704081919)"
M,1,12500,35.147273958943934,"(33.33318466960301, 36.96136324828486)"
M,1,13750,35.63203901519477,"(33.76563796693371, 37.49844006345583)"
M,1,15000,35.75217867989494,"(33.90850134731828, 37.5958560124716)"
M,1,16250,35.818211275386055,"(34.044714215524856, 37.591708335247255)"
M,1,17500,36.09044813667816,"(34.382749696428654, 37.79814657692767)"
M,1,18750,36.24861500526547,"(34.55513220666288, 37.94209780386806)"
M,1,20000,36.30278040779464,"(34.71395860401902, 37.891602211570266)"
M,1,21250,36.438691195991844,"(34.904551409271555, 37.97283098271213)"
M,1,22500,36.33497483866945,"(34.86720854858707, 37.80274112875183)"
M,1,23750,36.18621799113666,"(34.77295446205481, 37.599481520218504)"
D,1,0,0.0,"(0.0, 0.0)"
D,1,1250,17.40310429761995,"(15.418210625449987, 19.387997969789915)"
D,1,2500,17.72876575483043,"(16.02670306704185, 19.43082844261901)"
D,1,3750,18.857059584149596,"(17.36844203377086, 20.34567713452833)"
D,1,5000,19.079130993270493,"(17.80878383127854, 20.349478155262446)"
D,1,6250,18.85395006260385,"(17.67471633866126, 20.03318378654644)"
D,1,7500,19.16844079791714,"(18.008503857818308, 20.32837773801597)"
D,1,8750,19.296151633739196,"(18.172372525225306, 20.419930742253086)"
D,1,10000,19.281603546353246,"(18.19285433469878, 20.370352758007712)"
D,1,11250,19.165853697144563,"(18.145318782053074, 20.18638861223605)"
D,1,12500,19.31853231863895,"(18.29306480160521, 20.34399983567269)"
D,1,13750,19.382152346607484,"(18.395290258000788, 20.36901443521418)"
D,1,15000,19.48254770483365,"(18.499150310540614, 20.465945099126685)"
D,1,16250,19.35339080225939,"(18.424304381693783, 20.282477222824998)"
D,1,17500,19.172627795490506,"(18.314531116331512, 20.0307244746495)"
D,1,18750,19.15407805744505,"(18.359247961226966, 19.948908153663137)"
D,1,20000,19.129785951692234,"(18.39211123037995, 19.86746067300452)"
D,1,21250,19.095667188530705,"(18.406508288253068, 19.78482608880834)"
D,1,22500,19.199395905791967,"(18.537327258203057, 19.861464553380877)"
D,1,23750,19.143708785050904,"(18.517546709810087, 19.76987086029172)"
H2,1,0,0.0,"(0.0, 0.0)"
H2,1,1250,41.59975749669534,"(36.31720295308602, 46.88231204030466)"
H2,1,2500,48.464951234163564,"(42.900815365374186, 54.02908710295294)"
H2,1,3750,51.34321829840029,"(45.160473618136855, 57.52596297866372)"
H2,1,5000,53.58734179078328,"(47.35839068368513, 59.816292897881425)"
H2,1,6250,54.93347539346717,"(48.847984013023805, 61.018966773910535)"
H2,1,7500,56.81195289225925,"(50.571566758068755, 63.052339026449744)"
H2,1,8750,58.043956219840865,"(51.89008188370322, 64.19783055597851)"
H2,1,10000,59.148306311913245,"(53.30414345090333, 64.99246917292317)"
H2,1,11250,59.77170659999538,"(54.40396269221269, 65.13945050777808)"
H2,1,12500,60.429086380796626,"(55.419045570613065, 65.43912719098019)"
H2,1,13750,60.92325242240434,"(56.25250921563395, 65.59399562917473)"
H2,1,15000,61.85785065244483,"(57.3322483982345, 66.38345290665517)"
H2,1,16250,62.03730850576176,"(57.571673107188616, 66.5029439043349)"
H2,1,17500,61.80136402206518,"(57.30132280623914, 66.30140523789122)"
H2,1,18750,62.10238630250166,"(57.70377176696833, 66.50100083803498)"
H2,1,20000,62.56680687432768,"(58.43250171477723, 66.70111203387813)"
H2,1,21250,62.79218547467465,"(58.80417840239356, 66.78019254695575)"
H2,1,22500,63.17725825564568,"(59.325930618080946, 67.02858589321042)"
H2,1,23750,63.49075203560798,"(59.7422320121371, 67.23927205907887)"
M,2,0,0.0,"(0.0, 0.0)"
M,2,1250,14.21664130594173,"(12.497608288526408, 15.935674323357052)"
M,2,2500,17.12702763607667,"(15.164828512488981, 19.089226759664356)"
M,2,3750,17.38147689428093,"(15.595904113780922, 19.167049674780937)"
M,2,5000,17.430615514283225,"(15.866129043668613, 18.995101984897836)"
M,2,6250,17.68601920950649,"(16.20457612200201, 19.16746229701097)"
M,2,7500,18.141928422654686,"(16.686216828795075, 19.597640016514298)"
M,2,8750,18.31138768469704,"(16.87089713913104, 19.75187823026304)"
M,2,10000,18.31333686780118,"(16.84596383016785, 19.78070990543451)"
M,2,11250,18.331768956186046,"(16.88209194463225, 19.78144596773984)"
M,2,12500,17.98995470520063,"(16.67968752566264, 19.300221884738622)"
M,2,13750,17.707368381659094,"(16.500250325295145, 18.914486438023044)"
M,2,15000,17.570658077186796,"(16.43830263282775, 18.70301352154584)"
M,2,16250,17.451888330431213,"(16.390337276281397, 18.51343938458103)"
M,2,17500,17.416463912075496,"(16.41336002199984, 18.419567802151153)"
M,2,18750,17.500055968360645,"(16.521752391624613, 18.478359545096676)"
M,2,20000,17.599100546350336,"(16.653352667254985, 18.544848425445686)"
M,2,21250,17.539198217199704,"(16.628108826376987, 18.45028760802242)"
M,2,22500,17.591756451466054,"(16.721590076758012, 18.461922826174096)"
M,2,23750,17.618815731320836,"(16.776698853798283, 18.46093260884339)"
D,2,0,0.0,"(0.0, 0.0)"
D,2,1250,8.496491430991794,"(7.5061486120869665, 9.486834249896622)"
D,2,2500,8.654811939653547,"(7.8058722103343525, 9.50375166897274)"
