Service Distribution,n,Num Customers,Avg Waiting Time,Confidence Interval,Std,Mean
M,1,0,0.0,"(0.0, 0.0)",0.0,38.58299
M,1,5000,33.63971,"(29.59772, 37.68171)",10.64273,38.58299
M,1,10000,34.76885,"(31.14751, 38.39019)",9.53512,38.58299
M,1,15000,36.37214,"(31.93835, 40.80594)",11.67434,38.58299
M,1,20000,36.52274,"(32.96356, 40.08192)",9.37145,38.58299
M,1,25000,36.79997,"(33.73739, 39.86256)",8.0639,38.58299
M,1,30000,36.56419,"(33.86221, 39.26617)",7.11442,38.58299
M,1,35000,38.24452,"(35.30093, 41.18811)",7.75058,38.58299
M,1,40000,38.17599,"(35.49792, 40.85406)",7.05145,38.58299
M,1,45000,38.39103,"(35.89992, 40.88215)",6.55919,38.58299
M,1,50000,38.58299,"(36.21646, 40.94952)",6.23116,38.58299
D,1,0,0.0,"(0.0, 0.0)",0.0,19.08362
D,1,5000,19.8758,"(17.68701, 22.06459)",5.76317,19.08362
D,1,10000,20.03532,"(17.61116, 22.45948)",6.38291,19.08362
D,1,15000,19.66561,"(17.79983, 21.53138)",4.91265,19.08362
D,1,20000,19.18692,"(17.7275, 20.64634)",3.84271,19.08362
D,1,25000,19.07128,"(17.95854, 20.18403)",2.92989,19.08362
D,1,30000,18.9516,"(18.04071, 19.86249)",2.39841,19.08362
D,1,35000,18.84923,"(18.05549, 19.64297)",2.08994,19.08362
D,1,40000,18.96926,"(18.11186, 19.82666)",2.25756,19.08362
D,1,45000,18.98591,"(18.14651, 19.82531)",2.21018,19.08362
D,1,50000,19.08362,"(18.2859, 19.88134)",2.10043,19.08362
H2,1,0,0.0,"(0.0, 0.0)",0.0,64.47779
H2,1,5000,57.38666,"(43.8378, 70.93552)",35.67464,64.47779
H2,1,10000,66.19559,"(55.89881, 76.49238)",27.11181,64.47779
H2,1,15000,64.03193,"(56.26614, 71.79771)",20.44759,64.47779
H2,1,20000,62.74159,"(56.50037, 68.98281)",16.43336,64.47779
H2,1,25000,65.00273,"(59.80591, 70.19955)",13.68342,64.47779
H2,1,30000,64.5012,"(59.83213, 69.17026)",12.29382,64.47779
H2,1,35000,63.69149,"(59.33031, 68.05268)",11.48316,64.47779
H2,1,40000,64.42138,"(60.68932, 68.15343)",9.82664,64.47779
H2,1,45000,63.71109,"(60.15703, 67.26515)",9.35797,64.47779
H2,1,50000,64.47779,"(61.16294, 67.79265)",8.72813,64.47779
